,Retail Sales Exp MoM,Retail Sales MoM,Retail Sales Release,Payrolls,Citi Suprise,Payrolls,Payrolls Exp,Payrolls Release,ISM Manufacturing,ISM Manufacturing Exp,ISM Manufacturing Release,S&P 500 TR,S&P 500 Price
1992-12-01,,,,,,,,,,,,509.42,430.78
1992-12-02,,,,,,,,,,,,508.43,429.89
1992-12-03,,,,,,,,,,,,508.49,429.91
1992-12-04,,,,,,,,,,,,511.07,432.06
1992-12-07,,,,,,,,,,,,514.98,435.31
1992-12-08,,,,,,,,,,,,516.99,436.99
1992-12-09,,,,,,,,,,,,515.58,435.65
1992-12-10,,,,,,,,,,,,514.39,434.64
1992-12-11,,,,,,,,,,,,513.33,433.73
1992-12-14,,,,,,,,,,,,512.3,432.84
1992-12-15,,,,,,,,,,,,512.03,432.57
1992-12-16,,,,,,,,,,,,510.79,431.52
1992-12-17,,,,,,,,,,,,515.45,435.43
1992-12-18,,,,,,,,,,,,522.38,441.28
1992-12-21,,,,,,,,,,,,521.7,440.7
1992-12-22,,,,,,,,,,,,521.24,440.31
1992-12-23,,,,,,,,,,,,519.74,439.03
1992-12-24,,,,,,,,,,,,520.89,439.77
1992-12-25,,,,,,,,,,,,520.89,439.77
1992-12-28,,,,,,,,,,,,520.19,439.15
1992-12-29,,,,,,,,,,,,518.83,437.98
1992-12-30,,,,,,,,,,,,519.84,438.82
1992-12-31,,1.2,,212.0,,212.0,,,54.2,,,516.18,435.71
1993-01-01,,1.2,,212.0,,212.0,,,54.2,,,516.18,435.71
1993-01-04,,1.2,,212.0,,212.0,,,54.2,,,516.0,435.38
1993-01-05,,1.2,,212.0,,212.0,,,54.2,,,514.86,434.34
1993-01-06,,1.2,,212.0,,212.0,,,54.2,,,515.08,434.52
1993-01-07,,1.2,,212.0,,212.0,,,54.2,,,510.58,430.73
1993-01-08,,1.2,,212.0,,212.0,,,54.2,,,508.6,429.05
1993-01-11,,1.2,,212.0,,212.0,,,54.2,,,510.9,430.95
1993-01-12,,1.2,,212.0,,212.0,,,54.2,,,511.01,431.04
1993-01-13,,1.2,,212.0,,212.0,,,54.2,,,513.41,433.03
1993-01-14,,1.2,,212.0,,212.0,,,54.2,,,516.86,435.94
1993-01-15,,1.2,,212.0,,212.0,,,54.2,,,518.35,437.15
1993-01-18,,1.2,,212.0,,212.0,,,54.2,,,517.98,436.84
1993-01-19,,1.2,,212.0,,212.0,,,54.2,,,515.97,435.13
1993-01-20,,1.2,,212.0,,212.0,,,54.2,,,513.88,433.37
1993-01-21,,1.2,,212.0,,212.0,,,54.2,,,516.4,435.49
1993-01-22,,1.2,,212.0,,212.0,,,54.2,,,517.13,436.11
1993-01-25,,1.2,,212.0,,212.0,,,54.2,,,521.87,440.01
1993-01-26,,1.2,,212.0,,212.0,,,54.2,,,521.86,439.95
1993-01-27,,1.2,,212.0,,212.0,,,54.2,,,519.68,438.11
1993-01-28,,1.2,,212.0,,212.0,,,54.2,,,520.33,438.66
1993-01-29,,1.2,,212.0,,212.0,,,54.2,,,520.49,438.78
1993-02-01,,1.2,,309.0,,309.0,,,55.8,,,525.03,442.52
1993-02-02,,1.2,,309.0,,309.0,,,55.8,,,525.22,442.56
1993-02-03,,1.2,,309.0,,309.0,,,55.8,,,530.75,447.2
1993-02-04,,1.2,,309.0,,309.0,,,55.8,,,533.89,449.56
1993-02-05,,1.2,,309.0,,309.0,,,55.8,,,533.19,448.93
1993-02-08,,1.2,,309.0,,309.0,,,55.8,,,532.13,447.85
1993-02-09,,1.2,,309.0,,309.0,,,55.8,,,529.26,445.33
1993-02-10,,1.2,,309.0,,309.0,,,55.8,,,530.36,446.23
1993-02-11,,1.2,,309.0,,309.0,,,55.8,,,532.07,447.66
1993-02-12,,1.2,,309.0,,309.0,,,55.8,,,528.52,444.58
1993-02-15,,1.2,,309.0,,309.0,,,55.8,,,528.52,444.58
1993-02-16,,1.2,,309.0,,309.0,,,55.8,,,515.92,433.91
1993-02-17,,1.2,,309.0,,309.0,,,55.8,,,515.22,433.3
1993-02-18,,1.2,,309.0,,309.0,,,55.8,,,513.59,431.9
1993-02-19,,1.2,,309.0,,309.0,,,55.8,,,516.37,434.22
1993-02-22,,1.2,,309.0,,309.0,,,55.8,,,517.7,435.24
1993-02-23,,1.2,,309.0,,309.0,,,55.8,,,517.3,434.8
1993-02-24,,1.2,,309.0,,309.0,,,55.8,,,524.56,440.87
1993-02-25,,1.2,,309.0,,309.0,,,55.8,,,526.32,442.34
1993-02-26,,1.2,,309.0,,309.0,,,55.8,,,527.59,443.38
1993-03-01,,-0.7,,242.0,,242.0,,,55.2,,,526.07,442.01
1993-03-02,,-0.7,,242.0,,242.0,,,55.2,,,533.21,447.9
1993-03-03,,-0.7,,242.0,,242.0,,,55.2,,,534.95,449.26
1993-03-04,,-0.7,,242.0,,242.0,,,55.2,,,532.72,447.34
1993-03-05,,-0.7,,242.0,,242.0,,,55.2,,,531.37,446.11
1993-03-08,,-0.7,,242.0,,242.0,,,55.2,,,541.67,454.71
1993-03-09,,-0.7,,242.0,,242.0,,,55.2,,,541.43,454.4
1993-03-10,,-0.7,,242.0,,242.0,,,55.2,,,543.73,456.33
1993-03-11,,-0.7,,242.0,,242.0,,,55.2,,,540.64,453.72
1993-03-12,,-0.7,,242.0,,242.0,,,55.2,,,536.02,449.83
1993-03-15,,-0.7,,242.0,,242.0,,,55.2,,,537.95,451.43
1993-03-16,,-0.7,,242.0,,242.0,,,55.2,,,537.92,451.37
1993-03-17,,-0.7,,242.0,,242.0,,,55.2,,,534.3,448.31
1993-03-18,,-0.7,,242.0,,242.0,,,55.2,,,538.57,451.89
1993-03-19,,-0.7,,242.0,,242.0,,,55.2,,,536.53,450.18
1993-03-22,,-0.7,,242.0,,242.0,,,55.2,,,534.99,448.88
1993-03-23,,-0.7,,242.0,,242.0,,,55.2,,,534.85,448.76
1993-03-24,,-0.7,,242.0,,242.0,,,55.2,,,534.03,448.07
1993-03-25,,-0.7,,242.0,,242.0,,,55.2,,,537.62,450.88
1993-03-26,,-0.7,,242.0,,242.0,,,55.2,,,533.93,447.78
1993-03-29,,-0.7,,242.0,,242.0,,,55.2,,,537.59,450.77
1993-03-30,,-0.7,,242.0,,242.0,,,55.2,,,539.06,451.97
1993-03-31,,-0.8,,-49.0,,-49.0,,,53.5,,,538.72,451.67
1993-04-01,,-0.8,,-49.0,,-49.0,,,53.5,,,537.09,450.3
1993-04-02,,-0.8,,-49.0,,-49.0,,,53.5,,,526.71,441.39
1993-04-05,,-0.8,,-49.0,,-49.0,,,53.5,,,527.85,442.29
1993-04-06,,-0.8,,-49.0,,-49.0,,,53.5,,,526.5,441.16
1993-04-07,,-0.8,,-49.0,,-49.0,,,53.5,,,528.37,442.73
1993-04-08,,-0.8,,-49.0,,-49.0,,,53.5,,,527.35,441.84
1993-04-09,,-0.8,,-49.0,,-49.0,,,53.5,,,527.35,441.84
1993-04-12,,-0.8,,-49.0,,-49.0,,,53.5,,,535.15,448.37
1993-04-13,,-0.8,,-49.0,,-49.0,,,53.5,,,536.17,449.22
1993-04-14,,-0.8,,-49.0,,-49.0,,,53.5,,,535.5,448.66
1993-04-15,,-0.8,,-49.0,,-49.0,,,53.5,,,535.23,448.4
1993-04-16,,-0.8,,-49.0,,-49.0,,,53.5,,,535.88,448.94
1993-04-19,,-0.8,,-49.0,,-49.0,,,53.5,,,534.16,447.46
1993-04-20,,-0.8,,-49.0,,-49.0,,,53.5,,,531.36,445.1
1993-04-21,,-0.8,,-49.0,,-49.0,,,53.5,,,529.6,443.63
1993-04-22,,-0.8,,-49.0,,-49.0,,,53.5,,,524.86,439.46
1993-04-23,,-0.8,,-49.0,,-49.0,,,53.5,,,521.72,437.03
1993-04-26,,-0.8,,-49.0,,-49.0,,,53.5,,,517.68,433.54
1993-04-27,,-0.8,,-49.0,,-49.0,,,53.5,,,523.09,438.01
1993-04-28,,-0.8,,-49.0,,-49.0,,,53.5,,,523.1,438.02
1993-04-29,,-0.8,,-49.0,,-49.0,,,53.5,,,524.14,438.89
1993-04-30,,2.6,,308.0,,308.0,,,50.2,,,525.7,440.19
1993-05-03,,2.6,,308.0,,308.0,,,50.2,,,528.55,442.46
1993-05-04,,2.6,,308.0,,308.0,,,50.2,,,530.59,444.05
1993-05-05,,2.6,,308.0,,308.0,,,50.2,,,531.25,444.52
1993-05-06,,2.6,,308.0,,308.0,,,50.2,,,529.88,443.26
1993-05-07,,2.6,,308.0,,308.0,,,50.2,,,528.98,442.31
1993-05-10,,2.6,,308.0,,308.0,,,50.2,,,529.86,442.8
1993-05-11,,2.6,,308.0,,308.0,,,50.2,,,531.76,444.36
1993-05-12,,2.6,,308.0,,308.0,,,50.2,,,532.31,444.8
1993-05-13,,2.6,,308.0,,308.0,,,50.2,,,525.68,439.23
1993-05-14,,2.6,,308.0,,308.0,,,50.2,,,526.37,439.56
1993-05-17,,2.6,,308.0,,308.0,,,50.2,,,527.47,440.37
1993-05-18,,2.6,,308.0,,308.0,,,50.2,,,527.49,440.32
1993-05-19,,2.6,,308.0,,308.0,,,50.2,,,536.2,447.57
1993-05-20,,2.6,,308.0,,308.0,,,50.2,,,539.84,450.59
1993-05-21,,2.6,,308.0,,308.0,,,50.2,,,534.16,445.84
1993-05-24,,2.6,,308.0,,308.0,,,50.2,,,536.87,448.0
1993-05-25,,2.6,,308.0,,308.0,,,50.2,,,538.02,448.85
1993-05-26,,2.6,,308.0,,308.0,,,50.2,,,543.54,453.44
1993-05-27,,2.6,,308.0,,308.0,,,50.2,,,542.32,452.41
1993-05-28,,2.6,,308.0,,308.0,,,50.2,,,539.76,450.19
1993-05-31,,0.9,,266.0,,266.0,,,51.2,,,539.76,450.19
1993-06-01,,0.9,,266.0,,266.0,,,51.2,,,544.2,453.83
1993-06-02,,0.9,,266.0,,266.0,,,51.2,,,544.41,453.85
1993-06-03,,0.9,,266.0,,266.0,,,51.2,,,542.82,452.49
1993-06-04,,0.9,,266.0,,266.0,,,51.2,,,539.93,450.06
1993-06-07,,0.9,,266.0,,266.0,,,51.2,,,537.15,447.69
1993-06-08,,0.9,,266.0,,266.0,,,51.2,,,533.61,444.71
1993-06-09,,0.9,,266.0,,266.0,,,51.2,,,535.11,445.78
1993-06-10,,0.9,,266.0,,266.0,,,51.2,,,534.65,445.38
1993-06-11,,0.9,,266.0,,266.0,,,51.2,,,536.92,447.26
1993-06-14,,0.9,,266.0,,266.0,,,51.2,,,537.49,447.71
1993-06-15,,0.9,,266.0,,266.0,,,51.2,,,535.79,446.27
1993-06-16,,0.9,,266.0,,266.0,,,51.2,,,537.2,447.43
1993-06-17,,0.9,,266.0,,266.0,,,51.2,,,538.55,448.54
1993-06-18,,0.9,,266.0,,266.0,,,51.2,,,532.72,443.68
1993-06-21,,0.9,,266.0,,266.0,,,51.2,,,535.78,446.22
1993-06-22,,0.9,,266.0,,266.0,,,51.2,,,535.43,445.93
1993-06-23,,0.9,,266.0,,266.0,,,51.2,,,532.14,443.19
1993-06-24,,0.9,,266.0,,266.0,,,51.2,,,536.51,446.62
1993-06-25,,0.9,,266.0,,266.0,,,51.2,,,537.7,447.6
1993-06-28,,0.9,,266.0,,266.0,,,51.2,,,542.9,451.85
1993-06-29,,0.9,,266.0,,266.0,,,51.2,,,541.53,450.69
1993-06-30,,-0.1,,182.0,,182.0,,,49.6,,,541.34,450.53
1993-07-01,,-0.1,,182.0,,182.0,,,49.6,,,539.56,449.02
1993-07-02,,-0.1,,182.0,,182.0,,,49.6,,,536.01,445.84
1993-07-05,,-0.1,,182.0,,182.0,,,49.6,,,536.01,445.84
1993-07-06,,-0.1,,182.0,,182.0,,,49.6,,,530.74,441.43
1993-07-07,,-0.1,,182.0,,182.0,,,49.6,,,532.43,442.83
1993-07-08,,-0.1,,182.0,,182.0,,,49.6,,,539.41,448.64
1993-07-09,,-0.1,,182.0,,182.0,,,49.6,,,538.84,448.13
1993-07-12,,-0.1,,182.0,,182.0,,,49.6,,,539.87,448.98
1993-07-13,,-0.1,,182.0,,182.0,,,49.6,,,538.8,448.09
1993-07-14,,-0.1,,182.0,,182.0,,,49.6,,,541.21,450.08
1993-07-15,,-0.1,,182.0,,182.0,,,49.6,,,540.21,449.22
1993-07-16,,-0.1,,182.0,,182.0,,,49.6,,,536.04,445.75
1993-07-19,,-0.1,,182.0,,182.0,,,49.6,,,536.43,446.03
1993-07-20,,-0.1,,182.0,,182.0,,,49.6,,,537.99,447.31
1993-07-21,,-0.1,,182.0,,182.0,,,49.6,,,537.84,447.18
1993-07-22,,-0.1,,182.0,,182.0,,,49.6,,,534.63,444.51
1993-07-23,,-0.1,,182.0,,182.0,,,49.6,,,537.74,447.1
1993-07-26,,-0.1,,182.0,,182.0,,,49.6,,,540.22,449.09
1993-07-27,,-0.1,,182.0,,182.0,,,49.6,,,539.29,448.24
1993-07-28,,-0.1,,182.0,,182.0,,,49.6,,,538.03,447.19
1993-07-29,,-0.1,,182.0,,182.0,,,49.6,,,541.7,450.24
1993-07-30,,-0.1,,182.0,,182.0,,,49.6,,,539.16,448.13
1993-08-02,,1.4,,301.0,,301.0,,,50.2,,,541.75,450.15
1993-08-03,,1.4,,301.0,,301.0,,,50.2,,,540.89,449.27
1993-08-04,,1.4,,301.0,,301.0,,,50.2,,,540.06,448.54
1993-08-05,,1.4,,301.0,,301.0,,,50.2,,,539.65,448.13
1993-08-06,,1.4,,301.0,,301.0,,,50.2,,,540.34,448.68
1993-08-09,,1.4,,301.0,,301.0,,,50.2,,,543.21,450.72
1993-08-10,,1.4,,301.0,,301.0,,,50.2,,,541.72,449.45
1993-08-11,,1.4,,301.0,,301.0,,,50.2,,,542.97,450.46
1993-08-12,,1.4,,301.0,,301.0,,,50.2,,,541.19,448.96
1993-08-13,,1.4,,301.0,,301.0,,,50.2,,,542.66,450.14
1993-08-16,,1.4,,301.0,,301.0,,,50.2,,,545.5,452.38
1993-08-17,,1.4,,301.0,,301.0,,,50.2,,,546.5,453.13
1993-08-18,,1.4,,301.0,,301.0,,,50.2,,,550.01,456.04
1993-08-19,,1.4,,301.0,,301.0,,,50.2,,,550.53,456.43
1993-08-20,,1.4,,301.0,,301.0,,,50.2,,,550.21,456.16
1993-08-23,,1.4,,301.0,,301.0,,,50.2,,,549.15,455.23
1993-08-24,,1.4,,301.0,,301.0,,,50.2,,,554.65,459.77
1993-08-25,,1.4,,301.0,,301.0,,,50.2,,,555.15,460.13
1993-08-26,,1.4,,301.0,,301.0,,,50.2,,,556.38,461.04
1993-08-27,,1.4,,301.0,,301.0,,,50.2,,,555.78,460.54
1993-08-30,,1.4,,301.0,,301.0,,,50.2,,,557.53,461.9
1993-08-31,,0.0,,156.0,,156.0,,,50.7,,,559.62,463.56
1993-09-01,,0.0,,156.0,,156.0,,,50.7,,,559.2,463.15
1993-09-02,,0.0,,156.0,,156.0,,,50.7,,,557.03,461.3
1993-09-03,,0.0,,156.0,,156.0,,,50.7,,,557.17,461.34
1993-09-06,,0.0,,156.0,,156.0,,,50.7,,,557.17,461.34
1993-09-07,,0.0,,156.0,,156.0,,,50.7,,,553.78,458.52
1993-09-08,,0.0,,156.0,,156.0,,,50.7,,,551.54,456.65
1993-09-09,,0.0,,156.0,,156.0,,,50.7,,,552.79,457.5
1993-09-10,,0.0,,156.0,,156.0,,,50.7,,,557.89,461.72
1993-09-13,,0.0,,156.0,,156.0,,,50.7,,,558.52,462.06
1993-09-14,,0.0,,156.0,,156.0,,,50.7,,,555.94,459.9
1993-09-15,,0.0,,156.0,,156.0,,,50.7,,,558.03,461.6
1993-09-16,,0.0,,156.0,,156.0,,,50.7,,,555.43,459.43
1993-09-17,,0.0,,156.0,,156.0,,,50.7,,,554.7,458.83
1993-09-20,,0.0,,156.0,,156.0,,,50.7,,,550.24,455.05
1993-09-21,,0.0,,156.0,,156.0,,,50.7,,,547.7,452.95
1993-09-22,,0.0,,156.0,,156.0,,,50.7,,,551.64,456.2
1993-09-23,,0.0,,156.0,,156.0,,,50.7,,,553.5,457.74
1993-09-24,,0.0,,156.0,,156.0,,,50.7,,,553.61,457.63
1993-09-27,,0.0,,156.0,,156.0,,,50.7,,,558.73,461.8
1993-09-28,,0.0,,156.0,,156.0,,,50.7,,,558.41,461.53
1993-09-29,,0.0,,156.0,,156.0,,,50.7,,,556.73,460.11
1993-09-30,,0.6,,240.0,,240.0,,,50.8,,,555.33,458.93
1993-10-01,,0.6,,240.0,,240.0,,,50.8,,,558.24,461.29
1993-10-04,,0.6,,240.0,,240.0,,,50.8,,,558.53,461.34
1993-10-05,,0.6,,240.0,,240.0,,,50.8,,,558.39,461.2
1993-10-06,,0.6,,240.0,,240.0,,,50.8,,,557.84,460.74
1993-10-07,,0.6,,240.0,,240.0,,,50.8,,,555.97,459.18
1993-10-08,,0.6,,240.0,,240.0,,,50.8,,,557.39,460.31
1993-10-11,,0.6,,240.0,,240.0,,,50.8,,,558.08,460.88
1993-10-12,,0.6,,240.0,,240.0,,,50.8,,,558.37,461.12
1993-10-13,,0.6,,240.0,,240.0,,,50.8,,,558.82,461.49
1993-10-14,,0.6,,240.0,,240.0,,,50.8,,,565.34,466.83
1993-10-15,,0.6,,240.0,,240.0,,,50.8,,,568.57,469.5
1993-10-18,,0.6,,240.0,,240.0,,,50.8,,,567.36,468.45
1993-10-19,,0.6,,240.0,,240.0,,,50.8,,,564.67,466.21
1993-10-20,,0.6,,240.0,,240.0,,,50.8,,,564.5,466.07
1993-10-21,,0.6,,240.0,,240.0,,,50.8,,,563.64,465.36
1993-10-22,,0.6,,240.0,,240.0,,,50.8,,,561.1,463.27
1993-10-25,,0.6,,240.0,,240.0,,,50.8,,,562.32,464.2
1993-10-26,,0.6,,240.0,,240.0,,,50.8,,,562.53,464.3
1993-10-27,,0.6,,240.0,,240.0,,,50.8,,,562.91,464.61
1993-10-28,,0.6,,240.0,,240.0,,,50.8,,,566.69,467.73
1993-10-29,,0.6,,240.0,,240.0,,,50.8,,,566.82,467.83
1993-11-01,,0.6,,286.0,,286.0,,,53.4,,,568.49,469.1
1993-11-02,,0.6,,286.0,,286.0,,,53.4,,,567.86,468.44
1993-11-03,,0.6,,286.0,,286.0,,,53.4,,,561.33,463.02
1993-11-04,,0.6,,286.0,,286.0,,,53.4,,,554.82,457.49
1993-11-05,,0.6,,286.0,,286.0,,,53.4,,,557.67,459.57
1993-11-08,,0.6,,286.0,,286.0,,,53.4,,,558.56,460.21
1993-11-09,,0.6,,286.0,,286.0,,,53.4,,,558.76,460.33
1993-11-10,,0.6,,286.0,,286.0,,,53.4,,,562.9,463.72
1993-11-11,,0.6,,286.0,,286.0,,,53.4,,,561.59,462.64
1993-11-12,,0.6,,286.0,,286.0,,,53.4,,,564.94,465.39
1993-11-15,,0.6,,286.0,,286.0,,,53.4,,,563.11,463.75
1993-11-16,,0.6,,286.0,,286.0,,,53.4,,,566.83,466.74
1993-11-17,,0.6,,286.0,,286.0,,,53.4,,,564.53,464.81
1993-11-18,,0.6,,286.0,,286.0,,,53.4,,,563.1,463.62
1993-11-19,,0.6,,286.0,,286.0,,,53.4,,,561.93,462.6
1993-11-22,,0.6,,286.0,,286.0,,,53.4,,,557.74,459.13
1993-11-23,,0.6,,286.0,,286.0,,,53.4,,,560.12,461.03
1993-11-24,,0.6,,286.0,,286.0,,,53.4,,,561.94,462.36
1993-11-25,,0.6,,286.0,,286.0,,,53.4,,,561.94,462.36
1993-11-26,,0.6,,286.0,,286.0,,,53.4,,,562.8,463.06
1993-11-29,,0.6,,286.0,,286.0,,,53.4,,,561.49,461.9
1993-11-30,,1.0,,263.0,,263.0,,,53.8,,,561.41,461.79
1993-12-01,,1.0,,263.0,,263.0,,,53.8,,,561.58,461.89
1993-12-02,,1.0,,263.0,,263.0,,,53.8,,,563.18,463.11
1993-12-03,,1.0,,263.0,,263.0,,,53.8,,,565.34,464.89
1993-12-06,,1.0,,263.0,,263.0,,,53.8,,,567.31,466.43
1993-12-07,,1.0,,263.0,,263.0,,,53.8,,,567.75,466.76
1993-12-08,,1.0,,263.0,,263.0,,,53.8,,,567.18,466.29
1993-12-09,,1.0,,263.0,,263.0,,,53.8,,,564.81,464.18
1993-12-10,,1.0,,263.0,,263.0,,,53.8,,,564.53,463.93
1993-12-13,,1.0,,263.0,,263.0,,,53.8,,,566.71,465.7
1993-12-14,,1.0,,263.0,,263.0,,,53.8,,,563.53,463.06
1993-12-15,,1.0,,263.0,,263.0,,,53.8,,,562.07,461.84
1993-12-16,,1.0,,263.0,,263.0,,,53.8,,,563.91,463.34
1993-12-17,,1.0,,263.0,,263.0,,,53.8,,,567.62,466.38
1993-12-20,,1.0,,263.0,,263.0,,,53.8,,,566.99,465.85
1993-12-21,,1.0,,263.0,,263.0,,,53.8,,,566.33,465.3
1993-12-22,,1.0,,263.0,,263.0,,,53.8,,,568.79,467.32
1993-12-23,,1.0,,263.0,,263.0,,,53.8,,,568.87,467.38
1993-12-24,,1.0,,263.0,,263.0,,,53.8,,,568.87,467.38
1993-12-27,,1.0,,263.0,,263.0,,,53.8,,,573.1,470.54
1993-12-28,,1.0,,263.0,,263.0,,,53.8,,,573.6,470.94
1993-12-29,,1.0,,263.0,,263.0,,,53.8,,,573.18,470.58
1993-12-30,,1.0,,263.0,,263.0,,,53.8,,,570.84,468.64
1993-12-31,,0.9,,312.0,,312.0,,,55.6,,,568.2,466.45
1994-01-03,,0.9,,312.0,,312.0,,,55.6,,,567.09,465.44
1994-01-04,,0.9,,312.0,,312.0,,,55.6,,,569.07,466.89
1994-01-05,,0.9,,312.0,,312.0,,,55.6,,,569.9,467.55
1994-01-06,,0.9,,312.0,,312.0,,,55.6,,,569.37,467.12
1994-01-07,,0.9,,312.0,,312.0,,,55.6,,,572.76,469.9
1994-01-10,,0.9,,312.0,,312.0,,,55.6,,,579.37,475.27
1994-01-11,,0.9,,312.0,,312.0,,,55.6,,,577.98,474.13
1994-01-12,,0.9,,312.0,,312.0,,,55.6,,,578.03,474.17
1994-01-13,,0.9,,312.0,,312.0,,,55.6,,,576.01,472.47
1994-01-14,,0.9,,312.0,,312.0,,,55.6,,,579.04,474.91
1994-01-17,,0.9,,312.0,,312.0,,,55.6,,,577.07,473.3
1994-01-18,,0.9,,312.0,,312.0,,,55.6,,,578.24,474.25
1994-01-19,,0.9,,312.0,,312.0,,,55.6,,,578.31,474.3
1994-01-20,,0.9,,312.0,,312.0,,,55.6,,,579.14,474.98
1994-01-21,,0.9,,312.0,,312.0,,,55.6,,,578.82,474.72
1994-01-24,,0.9,,312.0,,312.0,,,55.6,,,575.54,471.97
1994-01-25,,0.9,,312.0,,312.0,,,55.6,,,574.32,470.92
1994-01-26,,0.9,,312.0,,312.0,,,55.6,,,577.12,473.2
1994-01-27,,0.9,,312.0,,312.0,,,55.6,,,581.82,477.05
1994-01-28,,0.9,,312.0,,312.0,,,55.6,,,583.85,478.7
1994-01-31,,-0.6,,271.0,,271.0,,,56.0,,,587.52,481.61
1994-02-01,,-0.6,,271.0,,271.0,,,56.0,,,585.27,479.62
1994-02-02,,-0.6,,271.0,,271.0,,,56.0,,,588.19,482.0
1994-02-03,,-0.6,,271.0,,271.0,,,56.0,,,586.69,480.71
1994-02-04,,-0.6,,271.0,,271.0,,,56.0,,,573.68,469.81
1994-02-07,,-0.6,,271.0,,271.0,,,56.0,,,576.2,471.76
1994-02-08,,-0.6,,271.0,,271.0,,,56.0,,,575.36,471.05
1994-02-09,,-0.6,,271.0,,271.0,,,56.0,,,577.61,472.77
1994-02-10,,-0.6,,271.0,,271.0,,,56.0,,,572.96,468.93
1994-02-11,,-0.6,,271.0,,271.0,,,56.0,,,574.51,470.18
1994-02-14,,-0.6,,271.0,,271.0,,,56.0,,,574.71,470.23
1994-02-15,,-0.6,,271.0,,271.0,,,56.0,,,577.64,472.52
1994-02-16,,-0.6,,271.0,,271.0,,,56.0,,,578.0,472.79
1994-02-17,,-0.6,,271.0,,271.0,,,56.0,,,575.01,470.34
1994-02-18,,-0.6,,271.0,,271.0,,,56.0,,,571.87,467.69
1994-02-21,,-0.6,,271.0,,271.0,,,56.0,,,571.87,467.69
1994-02-22,,-0.6,,271.0,,271.0,,,56.0,,,576.58,471.46
1994-02-23,,-0.6,,271.0,,271.0,,,56.0,,,575.75,470.69
1994-02-24,,-0.6,,271.0,,271.0,,,56.0,,,567.91,464.26
1994-02-25,,-0.6,,271.0,,271.0,,,56.0,,,570.14,466.07
1994-02-28,,1.6,,200.0,,200.0,,,56.5,,,571.57,467.14
1994-03-01,,1.6,,200.0,,200.0,,,56.5,,,568.33,464.44
1994-03-02,,1.6,,200.0,,200.0,,,56.5,,,569.0,464.81
1994-03-03,,1.6,,200.0,,200.0,,,56.5,,,566.83,463.01
1994-03-04,,1.6,,200.0,,200.0,,,56.5,,,569.0,464.74
1994-03-07,,1.6,,200.0,,200.0,,,56.5,,,571.72,466.91
1994-03-08,,1.6,,200.0,,200.0,,,56.5,,,570.48,465.88
1994-03-09,,1.6,,200.0,,200.0,,,56.5,,,572.17,467.06
1994-03-10,,1.6,,200.0,,200.0,,,56.5,,,568.32,463.9
1994-03-11,,1.6,,200.0,,200.0,,,56.5,,,571.44,466.44
1994-03-14,,1.6,,200.0,,200.0,,,56.5,,,572.62,467.39
1994-03-15,,1.6,,200.0,,200.0,,,56.5,,,572.21,467.01
1994-03-16,,1.6,,200.0,,200.0,,,56.5,,,575.19,469.42
1994-03-17,,1.6,,200.0,,200.0,,,56.5,,,577.03,470.9
1994-03-18,,1.6,,200.0,,200.0,,,56.5,,,577.23,471.06
1994-03-21,,1.6,,200.0,,200.0,,,56.5,,,574.14,468.54
1994-03-22,,1.6,,200.0,,200.0,,,56.5,,,574.46,468.8
1994-03-23,,1.6,,200.0,,200.0,,,56.5,,,574.15,468.54
1994-03-24,,1.6,,200.0,,200.0,,,56.5,,,569.02,464.35
1994-03-25,,1.6,,200.0,,200.0,,,56.5,,,564.72,460.58
1994-03-28,,1.6,,200.0,,200.0,,,56.5,,,564.01,460.0
1994-03-29,,1.6,,200.0,,200.0,,,56.5,,,554.84,452.48
1994-03-30,,1.6,,200.0,,200.0,,,56.5,,,546.36,445.55
1994-03-31,,1.9,,465.0,,465.0,,,56.9,,,546.65,445.77
1994-04-01,,1.9,,465.0,,465.0,,,56.9,,,546.65,445.77
1994-04-04,,1.9,,465.0,,465.0,,,56.9,,,538.37,438.92
1994-04-05,,1.9,,465.0,,465.0,,,56.9,,,550.02,448.29
1994-04-06,,1.9,,465.0,,465.0,,,56.9,,,549.72,448.05
1994-04-07,,1.9,,465.0,,465.0,,,56.9,,,553.2,450.88
1994-04-08,,1.9,,465.0,,465.0,,,56.9,,,548.6,447.1
1994-04-11,,1.9,,465.0,,465.0,,,56.9,,,552.05,449.87
1994-04-12,,1.9,,465.0,,465.0,,,56.9,,,549.25,447.57
1994-04-13,,1.9,,465.0,,465.0,,,56.9,,,547.65,446.26
1994-04-14,,1.9,,465.0,,465.0,,,56.9,,,547.84,446.38
1994-04-15,,1.9,,465.0,,465.0,,,56.9,,,547.59,446.18
1994-04-18,,1.9,,465.0,,465.0,,,56.9,,,543.08,442.46
1994-04-19,,1.9,,465.0,,465.0,,,56.9,,,543.2,442.54
1994-04-20,,1.9,,465.0,,465.0,,,56.9,,,542.49,441.96
1994-04-21,,1.9,,465.0,,465.0,,,56.9,,,550.81,448.73
1994-04-22,,1.9,,465.0,,465.0,,,56.9,,,549.45,447.63
1994-04-25,,1.9,,465.0,,465.0,,,56.9,,,555.77,452.71
1994-04-26,,1.9,,465.0,,465.0,,,56.9,,,554.83,451.87
1994-04-27,,1.9,,465.0,,465.0,,,56.9,,,554.83,451.87
1994-04-28,,1.9,,465.0,,465.0,,,56.9,,,551.44,449.1
