,SPXT INDEX
1992-12-31,
1993-01-31,1.008349800457205
1993-02-28,1.022104692161649
1993-03-31,1.0436669378898833
1993-04-30,1.0184431787361
1993-05-31,1.0456817389282806
1993-06-30,1.0487426866596923
1993-07-31,1.0445193537138207
1993-08-31,1.0841566895269092
1993-09-30,1.0758456352435197
1993-10-31,1.09810531210043
1993-11-30,1.0876244720833816
1993-12-31,1.1007787980936883
1994-01-31,1.1382076019993026
1994-02-28,1.1073075283815725
1994-03-31,1.0590297958076642
1994-04-30,1.0726103297299394
1994-05-31,1.0902204657290095
1994-06-30,1.0635049788833355
1994-07-31,1.098415281490953
1994-08-31,1.1434577085512807
1994-09-30,1.1154829710566083
1994-10-31,1.1405517455151306
1994-11-30,1.0990158471850906
1994-12-31,1.1153086132744394
1995-01-31,1.144252005114495
1995-02-28,1.188829478089039
1995-03-31,1.2239141384788257
1995-04-30,1.259948080127088
1995-05-31,1.3103181060870244
1995-06-30,1.3407532256189705
1995-07-31,1.385214460072068
1995-08-31,1.3887016157154481
1995-09-30,1.4473052036111433
1995-10-31,1.4421325894067958
1995-11-30,1.505424464334147
1995-12-31,1.5344259754349256
1996-01-31,1.5866558177379981
1996-02-29,1.6013599907009182
1996-03-31,1.6167809678794214
1996-04-30,1.640609864775853
1996-05-31,1.6829206865821997
1996-06-30,1.6893525514355454
1996-07-31,1.614708047580301
1996-08-31,1.6487659343639811
1996-09-30,1.7415823937386181
1996-10-31,1.7896082761827268
1996-11-30,1.924871168972064
1996-12-31,1.8867449339377735
1997-01-31,2.0046107946840253
1997-02-28,2.0203223681661435
1997-03-31,1.937308690766787
1997-04-30,2.0529660196055644
1997-05-31,2.177961176333837
1997-06-30,2.27554341508776
1997-07-31,2.456604285326824
1997-08-31,2.3189778759347517
1997-09-30,2.4459684606145147
1997-10-31,2.364291526211787
1997-11-30,2.4737300941532028
1997-12-31,2.516215273741718
1998-01-31,2.544054399628037
1998-02-28,2.7275369057305596
1998-03-31,2.8672168623348444
1998-04-30,2.896063388740362
1998-05-31,2.8462745553876556
1998-06-30,2.9618931380526172
1998-07-31,2.930353752566934
1998-08-31,2.506683714983146
1998-09-30,2.6672672323608047
1998-10-31,2.8842264326397773
1998-11-30,3.059049168894572
1998-12-31,3.235324886667442
1999-01-31,3.3706071525436867
1999-02-28,3.2658568716339267
1999-03-31,3.396508969739239
1999-04-30,3.528052229842303
1999-05-31,3.4447285830524237
1999-06-30,3.6359022046572904
1999-07-31,3.522375915378357
1999-08-31,3.5049595102483635
1999-09-30,3.4088689991863306
1999-10-31,3.6245883219032127
1999-11-30,3.6982641714130735
1999-12-31,3.9160757875159833
2000-01-31,3.7193227168817082
2000-02-29,3.6489209190592433
2000-03-31,4.005889418419932
2000-04-30,3.88536944476733
2000-05-31,3.805649192142277
2000-06-30,3.8994730520361123
2000-07-31,3.8385059475376813
2000-08-31,4.07693052811035
2000-09-30,3.86169553256616
2000-10-31,3.8453640203029966
2000-11-30,3.5422139563718096
2000-12-31,3.559533496067264
2001-01-31,3.685826649618351
2001-02-28,3.349742337944129
2001-03-31,3.137548917044443
2001-04-30,3.3813592157774433
2001-05-31,3.4040257274594143
2001-06-30,3.321167034755319
2001-07-31,3.288465264055176
2001-08-31,3.082606842574297
2001-09-30,2.8336820488976726
2001-10-31,2.887713588283158
2001-11-30,3.1092254639854326
2001-12-31,3.136464024177614
2002-01-31,3.090685419814794
2002-02-28,3.0310938044868077
2002-03-31,3.1450850478515258
2002-04-30,2.954395753419351
2002-05-31,2.9326397768220396
2002-06-30,2.723739780696657
2002-07-31,2.511410748188617
