,Run 0,Run 1,Run 2
1992-12-31,1.0,1.0,1.0
1993-01-31,1.012966268294702,1.0385010004869133,1.0164355617501646
1993-02-28,0.9960532566758653,1.0534573697426617,1.0244778393397527
1993-03-31,1.020181887729306,1.0736497506099743,1.0481318284231442
1993-04-30,0.9928189225583346,1.0460234364887948,1.01094736635777
1993-05-31,1.0293907481516291,1.0660320713250853,1.0334861729588514
1993-06-30,1.015612574872876,1.0612397023276696,1.017038673112431
1993-07-31,1.0087288530106033,1.0562686527343546,1.014458672859233
1993-08-31,1.039317698095448,1.0884039553673863,1.0450849268516544
1993-09-30,1.0245857103579208,1.0795359888063074,1.0412569773224236
1993-10-31,1.0399238376281656,1.104107956137717,1.0463007498290615
1993-11-30,1.02964079767152,1.0846647550105903,1.0519847994449996
1993-12-31,1.057489495897762,1.1181603472787904,1.0769851868745226
1994-01-31,1.0856092204750423,1.1487199067698084,1.1249894434575172
1994-02-28,1.0534862946381578,1.1261841859080386,1.1104812588786328
1994-03-31,0.992476381304947,1.0890609819965558,1.0569381690103579
1994-04-30,1.0035847618650586,1.097028704287404,1.0654697976806682
1994-05-31,1.0068234143479557,1.094924736987515,1.0839445552313003
1994-06-30,0.9796645975860739,1.071831042042525,1.0430360425773024
1994-07-31,1.0111751602028098,1.116478091170859,1.0759929255144516
1994-08-31,1.0551093220819867,1.1559491168537408,1.121625882849474
1994-09-30,1.0168973198264313,1.1246866759626426,1.0816447892917247
1994-10-31,1.022361269152716,1.1411744010031923,1.073883603686979
1994-11-30,0.9612423008122335,1.079341015421261,1.0143717825432899
1994-12-31,0.9942800074644182,1.097446488351034,1.0299860641013707
1995-01-31,1.0002373656725867,1.1205820118985825,1.0624866046192305
1995-02-28,1.0398186303217194,1.1615009886305419,1.1072885025263735
1995-03-31,1.0684867076799727,1.2058973750864896,1.1396972457169912
1995-04-30,1.0875459489257076,1.2348167926574283,1.1884131492517278
1995-05-31,1.127465662732053,1.2723358972477243,1.2187606474047907
1995-06-30,1.1543483051089118,1.3222841779265588,1.25473025054082
1995-07-31,1.198117471409864,1.3478463506130451,1.292313380917894
1995-08-31,1.1979876004138725,1.3352489825920013,1.3150257334118949
1995-09-30,1.2124538196981378,1.3699137424797483,1.3289322663125758
1995-10-31,1.1814551287762258,1.358340948301136,1.306190762660902
1995-11-30,1.238831553696093,1.4339532965152304,1.356909409416818
1995-12-31,1.2655624834047499,1.4276544463396352,1.3598965864323072
1996-01-31,1.3256698861120537,1.4524772794917886,1.4294165682863549
1996-02-29,1.3251857469584583,1.449081579550536,1.4362204994974153
1996-03-31,1.348317928030524,1.4898019150876287,1.4898442923975004
1996-04-30,1.3826433499532147,1.5301858312404772,1.5326033254326694
1996-05-31,1.3825827826992039,1.5224064070112964,1.5348284832559953
1996-06-30,1.378366393359684,1.5305933739905633,1.5394685175323557
1996-07-31,1.3099157000732815,1.4432331416596456,1.4433089360859668
1996-08-31,1.3541282943447002,1.4787664734869121,1.4780972643282642
1996-09-30,1.3964224149143527,1.5410452611776218,1.550916895093309
1996-10-31,1.373550846049483,1.5947271939043195,1.5566755675495536
1996-11-30,1.4906682671314786,1.7200677101720347,1.6546031729499646
1996-12-31,1.506616767363884,1.6938721103094365,1.6358965819233349
1997-01-31,1.590705348122298,1.7403955222777434,1.664669980853669
1997-02-28,1.6189846765471896,1.7602085878757832,1.7022191237128454
1997-03-31,1.5354030706133472,1.640692821267498,1.6358133339394054
1997-04-30,1.5998006792755073,1.6493880716935443,1.6884830867304468
1997-05-31,1.737474558671308,1.7785810677806584,1.804348004299367
1997-06-30,1.76931121858131,1.8568758991934096,1.9200988983781557
1997-07-31,1.9329550119995904,2.021272799214289,2.053963836908195
1997-08-31,1.8616485200291644,1.9612640633452978,2.0085665820915057
1997-09-30,1.975972323659428,2.0603777740422693,2.1161053079832577
1997-10-31,1.9098517959307877,1.9701934824267207,2.024374089715051
1997-11-30,1.9512490054303948,2.0388898073993205,2.069505190853373
1997-12-31,1.9704008211983097,2.0661687865787015,2.13805150316053
1998-01-31,1.9748951885728119,2.061717792482401,2.136794152446134
1998-02-28,2.128696818018436,2.223354547099381,2.260052497739387
1998-03-31,2.245397210280585,2.3224019966302527,2.4204756067908995
1998-04-30,2.2772746517453992,2.3587380031728706,2.4074742438770635
1998-05-31,2.2387913244915794,2.3470731638816535,2.3461177319975186
1998-06-30,2.2868077587091764,2.334367741564213,2.385271268877245
1998-07-31,2.135388473243518,2.2185990563384768,2.301467764098964
1998-08-31,1.8732637246387909,1.8534786664921898,1.9559146779176855
1998-09-30,1.984779606131988,1.8873773563049208,2.067946642048498
1998-10-31,2.151468627419459,2.03818877361084,2.1814803481702607
1998-11-30,2.2676021949103804,2.0873356724015544,2.319424362462928
1998-12-31,2.321570996086797,2.1773329850080954,2.348922065314361
1999-01-31,2.416969839245733,2.185594828998735,2.405542563884424
1999-02-28,2.4420812455312464,2.1571568128088354,2.316009063830572
1999-03-31,2.452106113501732,2.173926485512692,2.3456809035673722
1999-04-30,2.7618485679060125,2.4133871121184636,2.6867511454454003
1999-05-31,2.7668166400047887,2.4381783667931334,2.7247799717150363
1999-06-30,2.869411653648815,2.5030152764773574,2.8196423598625
1999-07-31,2.7907020695274407,2.43054964610731,2.6720688025735444
1999-08-31,2.7479159408515406,2.3533616076025448,2.5594731939397883
1999-09-30,2.659556028304408,2.1791553599987434,2.43204629282989
1999-10-31,2.7299602379937804,2.215669298368537,2.559555086609044
1999-11-30,2.6875085208945975,2.219223486181759,2.589138403865314
